time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T10:07:18.820Z,35.7608333,-118.4765,2.3,1.59,ml,25,81,0.06976,0.13,ci,ci37888399,2018-03-05T14:21:44.350Z,"5km W of Kernville, CA",earthquake,0.31,0.51,0.253,23,reviewed,ci,ci
2018-03-05T10:03:10.313Z,60.1247,-141.4109,2.3,1.4,ml,,,,0.49,ak,ak18588547,2018-03-05T10:06:04.679Z,"57km E of Cape Yakataga, Alaska",earthquake,,16.5,,,automatic,ak,ak
2018-03-05T10:00:17.979Z,65.192,-152.6037,2.3,1.8,ml,,,,0.87,ak,ak18588495,2018-03-05T10:11:16.532Z,"24km W of Tanana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T09:58:44.239Z,62.5328,-151.4588,3.2,1.2,ml,,,,0.33,ak,ak18588493,2018-03-05T10:06:04.189Z,"73km WNW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T09:52:31.730Z,36.75,-121.3939972,7.53,1.87,md,24,84,0.0441,0.24,nc,nc72979381,2018-03-05T12:11:03.187Z,"7km SSW of Ridgemark, CA",earthquake,0.62,1.05,0.19,20,automatic,nc,nc
2018-03-05T09:23:21.300Z,19.371666,-155.2146606,2.44,2.02,ml,28,88,0.00225,0.21,hv,hv70049222,2018-03-05T09:29:31.900Z,"6km SSE of Volcano, Hawaii",earthquake,0.42,0.29,0.23,3,automatic,hv,hv
2018-03-05T09:07:06.080Z,33.7701667,-116.9366667,13.03,0.8,ml,29,61,0.04584,0.23,ci,ci37888391,2018-03-05T09:10:40.420Z,"2km SE of San Jacinto, CA",earthquake,0.32,0.69,0.168,26,automatic,ci,ci
2018-03-05T09:06:12.980Z,61.5467,-150.3118,52.4,0.9,ml,,,,0.42,ak,ak18588147,2018-03-05T09:11:05.377Z,"19km W of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-05T09:03:25.289Z,63.086,-150.4799,110.4,1.4,ml,,,,0.43,ak,ak18588143,2018-03-05T09:21:19.045Z,"84km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-05T08:59:41.771Z,61.6998,-148.1664,20,2,ml,,,,0.92,ak,ak18588088,2018-03-05T09:05:42.478Z,"37km ESE of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-05T08:58:19.596Z,59.2091,-152.392,83.3,1.9,ml,,,,0.34,ak,ak18588085,2018-03-05T09:11:05.111Z,"68km SW of Homer, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-05T08:53:04.430Z,19.2045002,-155.5273285,36.13,2.34,ml,55,83,0.05121,0.15,hv,hv70049202,2018-03-05T09:03:22.040Z,"4km W of Pahala, Hawaii",earthquake,0.62,0.91,3.95,9,automatic,hv,hv
